action,domain,service,category,description,source,added
block,amplifiedit.com,Gopher,device-management,,,
block,gopher-buddy-prod.appspot.com,Gopher,device-management,,,
block,gopherforchrome.app,Gopher,device-management,,,
block,jamf.com,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,jamfcloud.com,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,jamfschool.com,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,launchdarkly.com,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,mosyle.com,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,mosyle.net,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,sentry.pub.jamf.build,MDM Infrastructure (Jamf / Mosyle),device-management,,,
block,radix-int.com,Radix VISO,device-management,,,
block,visomdm.com,Radix VISO,device-management,,,
block,block.si,Blocksi,filtering,,,
block,blocksi-dns.appspot.com,Blocksi,filtering,,,
block,blocksi.net,Blocksi,filtering,,,
block,blocksicloud.com,Blocksi,filtering,,,
block,blocksicloud.net,Blocksi,filtering,,,
block,brm-v3.appspot.com,Blocksi,filtering,,,
block,apisanta.com,Deledao,filtering,,,
block,deledao.com,Deledao,filtering,,,
block,deledao.net,Deledao,filtering,,,
block,dldschool.org,Deledao,filtering,,,
block,forticlient.com,Fortinet / FortiGuard,filtering,,,
block,forticloud.com,Fortinet / FortiGuard,filtering,,,
block,fortiguard.com,Fortinet / FortiGuard,filtering,,,
block,fortinet.com,Fortinet / FortiGuard,filtering,,,
block,iboss.com,iboss,filtering,,,
block,iboss.si,iboss,filtering,,,
block,ibosscloud.com,iboss,filtering,,,
block,myiboss.net,iboss,filtering,,,
block,5rw61tcrl5.execute-api.us-west-2.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,a-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,b-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,b16rt683ll.execute-api.us-west-2.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,c-fallback-lightspeed.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,catchon.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,l5c.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-a-fallback.ably-realtime.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-apps.s3.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-b-fallback.ably-realtime.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-c-fallback.ably-realtime.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-d-fallback.ably-realtime.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-e-fallback.ably-realtime.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-realtime.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeed-rest.ably.io,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeedsystems.app,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lightspeedsystems.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,ls-papi.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,ls-pki.css-security.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,ls101cms.csspki.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsaccess.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsaccess.me,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsagent.fcps.org,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsclassroom.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsfilter.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsmdm-production.s3.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsmdm.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsrelay-config-production.s3.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsrelay-extensions-production.s3.amazonaws.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
block,lsrelayaccess.com,Lightspeed Systems,filtering,Known patched/failsafe behavior; see README.,,
